"Módulo 1, Leccion 1",
Pedagogical Page Open Time,17:49:40
Pedagogical Page Close Time,17:49:40
Parte 6,17:49:40
Pedagogical Page Open Time,17:49:40
Pedagogical Page Close Time,17:49:41
Pedagogical2 Page Open Time,17:49:41
Pedagogical2 Page Close Time,17:49:41
Parte 7,17:49:41
Pedagogical Page Open Time,17:49:41
Pedagogical Page Close Time,17:49:42

"Modulo 1, Leccion 2",
Parte 1,17:49:50
Pedagogical Page Open Time,17:49:50
Pedagogical Page Close Time,17:49:57
Pedagogical2 Page Open Time,17:49:57
Pedagogical2 Page Close Time,17:49:59
Parte 2,17:49:59
Completeblankspace Page Open Time,17:49:59
Completeblankspace Page Close Time,17:50:03
Pedagogical Page Open Time,17:50:03
Correct Answer Selected: +,17:50:03
Pedagogical Page Close Time,17:50:04
Parte 3,17:50:04
Draganddrop Page Open Time,17:50:04
Draganddrop Page Close Time,17:50:08
Pedagogical Page Open Time,17:50:08
Correct Answer Selected: print(42 * 3),17:50:08
Pedagogical Page Close Time,17:50:09
Parte 4,17:50:09
Multiplechoice Page Open Time,17:50:09
Correct Answer Selected: 4.0,17:50:11
Multiplechoice Page Close Time,17:50:12
Pedagogical Page Open Time,17:50:12
Pedagogical Page Close Time,17:50:12
Parte 5,17:50:12
Draganddrop Page Open Time,17:50:12
Correct Answer Selected: Entero:2,17:50:17
Correct Answer Selected: Flotante:3.14,17:50:17
Draganddrop Page Close Time,17:50:18
Pedagogical Page Open Time,17:50:18
Pedagogical Page Close Time,17:50:18
Parte 6,17:50:18
Pedagogical Page Open Time,17:50:18
Pedagogical Page Close Time,17:50:19
Pedagogical2 Page Open Time,17:50:19
Pedagogical2 Page Close Time,17:50:20
Parte 7,17:50:20
Pedagogical Page Open Time,17:50:20
Pedagogical Page Close Time,17:50:21

"Modulo 1, Leccion 3",
Parte 1,17:50:29
Pedagogical Page Open Time,17:50:29
Pedagogical Page Close Time,17:50:31
Pedagogical2 Page Open Time,17:50:31
Pedagogical2 Page Close Time,17:50:32
Parte 2,17:50:32
Multiplechoice Page Open Time,17:50:32
Multiplechoice Page Close Time,17:50:36
Pedagogical Page Open Time,17:50:36
Checkbox Selected: 'Viernes',17:50:36
Checkbox Selected: 'The Lord of the Rings',17:50:36
Pedagogical Page Close Time,17:50:37
Parte 3,17:50:37
Draganddrop Page Open Time,17:50:37
Draganddrop Page Close Time,17:50:42
Pedagogical Page Open Time,17:50:42
Correct Drop Event: Water,17:50:42
Correct Drop Event: +,17:50:42
Correct Drop Event: Park,17:50:42
Pedagogical Page Close Time,17:50:43
Parte 4,17:50:43
Multiplechoice Page Open Time,17:50:43
Multiplechoice Page Close Time,17:50:49
Draganddrop Page Open Time,17:50:49
Checkbox Selected: '100',17:50:49
Checkbox Selected: 'Manzana',17:50:49
Draganddrop Page Close Time,17:50:57
Parte 5,17:50:57
Pedagogical Page Open Time,17:50:57
Correct Answer Selected: 100,17:50:57
Correct Answer Selected: 100.00,17:50:57
Correct Answer Selected: 'cien',17:50:57
Pedagogical Page Close Time,17:50:58
Pedagogical2 Page Open Time,17:50:58
Pedagogical2 Page Close Time,17:50:58
Parte 6,17:50:58
Pedagogical Page Open Time,17:50:58
Pedagogical Page Close Time,17:51:00

"Modulo 1, Leccion 4",
Parte 1,17:51:03
Pedagogical Page Open Time,17:51:03
Pedagogical Page Close Time,17:51:05
Draganddrop Page Open Time,17:51:05
Draganddrop Page Close Time,17:51:12
Parte 2,17:51:12
Pedagogical Page Open Time,17:51:12
Correct Answer Selected: Entero,17:51:12
Correct Answer Selected: Flotante,17:51:12
Correct Answer Selected: Cadena,17:51:12
Pedagogical Page Close Time,17:51:13
Draganddrop Page Open Time,17:51:13
Correct Drop Event: print('Nosotros somos los campeones amigos'),17:51:19
Correct Drop Event: print('Y seguiremos luchando hasta el final'),17:51:19
Correct Drop Event: print('Somos los campeones'),17:51:19
Draganddrop Page Close Time,17:51:20
Parte 3,17:51:20
Pedagogical Page Open Time,17:51:20
Pedagogical Page Close Time,17:51:21
Completeblankspace Page Open Time,17:51:21
Correct Answer Selected: print,17:51:24
Completeblankspace Page Close Time,17:51:25
Parte 4,17:51:25
Pedagogical Page Open Time,17:51:25
Pedagogical Page Close Time,17:51:26
Draganddrop Page Open Time,17:51:26
Correct Answer Selected: sep,17:51:31
Correct Answer Selected: '-',17:51:31
Draganddrop Page Close Time,17:51:32
Parte 5,17:51:32
Pedagogical Page Open Time,17:51:32
Pedagogical Page Close Time,17:51:32
Draganddrop Page Open Time,17:51:32
"Correct Answer Selected: # Outputs a message 
print('Have a good day!')",17:51:36
Draganddrop Page Close Time,17:51:37
Parte 6,17:51:37
Pedagogical Page Open Time,17:51:37
Pedagogical Page Close Time,17:51:38
Pedagogical2 Page Open Time,17:51:38
Pedagogical2 Page Close Time,17:51:38
Parte 7,17:51:38
Pedagogical Page Open Time,17:51:38
Pedagogical Page Close Time,17:51:39
Pedagogical2 Page Open Time,17:51:39
Pedagogical2 Page Close Time,17:51:40

"Modulo 1, Leccion 5",
Parte 1,17:51:43
Pedagogical2 Page Open Time,17:51:43
Pedagogical2 Page Close Time,17:51:45
Parte 2,17:51:45
Pedagogical Page Open Time,17:51:45
Pedagogical Page Close Time,17:51:46
Pedagogical2 Page Open Time,17:51:46
Pedagogical2 Page Close Time,17:51:47
Parte 3,17:51:47
Multiplechoice Page Open Time,17:51:47
Multiplechoice Page Close Time,17:51:49
Draganddrop Page Open Time,17:51:49
Checkbox Selected: valor.,17:51:49
Draganddrop Page Close Time,17:51:54
Parte 4,17:51:54
Pedagogical Page Open Time,17:51:54
Correct Drop Event: edad,17:51:54
Correct Drop Event: 18,17:51:54
Pedagogical Page Close Time,17:51:55
Completeblankspace Page Open Time,17:51:55
Correct Answer Selected: 2028,17:52:00
Completeblankspace Page Close Time,17:52:01
Parte 5,17:52:01
Pedagogical Page Open Time,17:52:01
Pedagogical Page Close Time,17:52:01
Multiplechoice Page Open Time,17:52:01
Checkbox Selected: 42,17:52:06
Checkbox Selected: 24,17:52:10
Multiplechoice Page Close Time,17:52:11
Parte 6,17:52:11
Multiplechoice Page Open Time,17:52:11
Checkbox Selected: 12,17:52:17
Multiplechoice Page Close Time,17:52:18
Pedagogical Page Open Time,17:52:18
Pedagogical Page Close Time,17:52:19
Parte 7,17:52:19
Multiplechoice Page Open Time,17:52:19
Multiplechoice Page Close Time,17:52:23
Pedagogical Page Open Time,17:52:23
Checkbox Selected: un_nombre_variable,17:52:23
Pedagogical Page Close Time,17:52:24
Parte 8,17:52:24
Multiplechoice Page Open Time,17:52:24
Checkbox Selected: Balance: € 200,17:52:27
Multiplechoice Page Close Time,17:52:28
Pedagogical Page Open Time,17:52:28
Pedagogical Page Close Time,17:52:29
Parte 9,17:52:29
Pedagogical Page Open Time,17:52:29
Pedagogical Page Close Time,17:52:31
Pedagogical2 Page Open Time,17:52:31
Pedagogical2 Page Close Time,17:52:31

